mode,p,seed,N_mem,method,n_eval,n_correct,accuracy
1,0.65,7,40,point,200,114,0.57
1,0.65,7,40,concat,200,100,0.5
1,0.65,7,40,chemotaxis,200,90,0.45
1,0.65,8,40,recency,200,45,0.225
1,0.65,8,40,point,200,112,0.56
1,0.65,8,40,concat,200,96,0.48
1,0.65,8,40,chemotaxis,200,84,0.42
1,0.65,9,40,recency,200,52,0.26
1,0.65,9,40,point,200,123,0.615
1,0.65,9,40,concat,200,104,0.52
1,0.65,9,40,chemotaxis,200,89,0.445
1,0.8,0,40,recency,200,41,0.205
1,0.8,0,40,point,200,121,0.605
1,0.8,0,40,concat,200,100,0.5
1,0.8,0,40,chemotaxis,200,95,0.475
1,0.8,1,40,recency,200,37,0.185
1,0.8,1,40,point,200,113,0.565
1,0.8,1,40,concat,200,92,0.46
1,0.8,1,40,chemotaxis,200,83,0.415
1,0.8,2,40,recency,200,31,0.155
1,0.8,2,40,point,200,110,0.55
1,0.8,2,40,concat,200,87,0.435
1,0.8,2,40,chemotaxis,200,85,0.425
1,0.8,3,40,recency,200,28,0.14
1,0.8,3,40,point,200,120,0.6
1,0.8,3,40,concat,200,90,0.45
1,0.8,3,40,chemotaxis,200,93,0.465
1,0.8,4,40,recency,200,29,0.145
1,0.8,4,40,point,200,106,0.53
1,0.8,4,40,concat,200,85,0.425
1,0.8,4,40,chemotaxis,200,80,0.4
1,0.8,5,40,recency,200,32,0.16
1,0.8,5,40,point,200,119,0.595
1,0.8,5,40,concat,200,87,0.435
1,0.8,5,40,chemotaxis,200,81,0.405
1,0.8,6,40,recency,200,37,0.185
1,0.8,6,40,point,200,115,0.575
1,0.8,6,40,concat,200,88,0.44
1,0.8,6,40,chemotaxis,200,85,0.425
1,0.8,7,40,recency,200,45,0.225
1,0.8,7,40,point,200,118,0.59
1,0.8,7,40,concat,200,101,0.505
1,0.8,7,40,chemotaxis,200,88,0.44
1,0.8,8,40,recency,200,36,0.18
1,0.8,8,40,point,200,108,0.54
1,0.8,8,40,concat,200,91,0.455
1,0.8,8,40,chemotaxis,200,86,0.43
1,0.8,9,40,recency,200,34,0.17
1,0.8,9,40,point,200,131,0.655
1,0.8,9,40,concat,200,113,0.565
1,0.8,9,40,chemotaxis,200,105,0.525
1,0.9,0,40,recency,200,31,0.155
1,0.9,0,40,point,200,118,0.59
1,0.9,0,40,concat,200,101,0.505
1,0.9,0,40,chemotaxis,200,111,0.555
1,0.9,1,40,recency,200,28,0.14
1,0.9,1,40,point,200,125,0.625
1,0.9,1,40,concat,200,97,0.485
1,0.9,1,40,chemotaxis,200,99,0.495
1,0.9,2,40,recency,200,23,0.115
1,0.9,2,40,point,200,121,0.605
1,0.9,2,40,concat,200,92,0.46
1,0.9,2,40,chemotaxis,200,101,0.505
1,0.9,3,40,recency,200,23,0.115
1,0.9,3,40,point,200,122,0.61
1,0.9,3,40,concat,200,92,0.46
1,0.9,3,40,chemotaxis,200,109,0.545
1,0.9,4,40,recency,200,28,0.14
1,0.9,4,40,point,200,115,0.575
1,0.9,4,40,concat,200,96,0.48
1,0.9,4,40,chemotaxis,200,93,0.465
1,0.9,5,40,recency,200,32,0.16
1,0.9,5,40,point,200,110,0.55
1,0.9,5,40,concat,200,85,0.425
1,0.9,5,40,chemotaxis,200,91,0.455
1,0.9,6,40,recency,200,30,0.15
1,0.9,6,40,point,200,129,0.645
1,0.9,6,40,concat,200,98,0.49
1,0.9,6,40,chemotaxis,200,96,0.48
1,0.9,7,40,recency,200,40,0.2
1,0.9,7,40,point,200,125,0.625
1,0.9,7,40,concat,200,100,0.5
1,0.9,7,40,chemotaxis,200,88,0.44
1,0.9,8,40,recency,200,34,0.17
1,0.9,8,40,point,200,113,0.565
1,0.9,8,40,concat,200,93,0.465
1,0.9,8,40,chemotaxis,200,98,0.49
1,0.9,9,40,recency,200,25,0.125
1,0.9,9,40,point,200,124,0.62
1,0.9,9,40,concat,200,95,0.475
1,0.9,9,40,chemotaxis,200,104,0.52
1,1.0,0,40,recency,200,26,0.13
1,1.0,0,40,point,200,105,0.525
1,1.0,0,40,concat,200,97,0.485
1,1.0,0,40,chemotaxis,200,99,0.495
1,1.0,1,40,recency,200,24,0.12
1,1.0,1,40,point,200,141,0.705
1,1.0,1,40,concat,200,100,0.5
1,1.0,1,40,chemotaxis,200,112,0.56
1,1.0,2,40,recency,200,19,0.095
1,1.0,2,40,point,200,134,0.67
1,1.0,2,40,concat,200,107,0.535
1,1.0,2,40,chemotaxis,200,102,0.51
1,1.0,3,40,recency,200,24,0.12
1,1.0,3,40,point,200,123,0.615
1,1.0,3,40,concat,200,102,0.51
1,1.0,3,40,chemotaxis,200,107,0.535
1,1.0,4,40,recency,200,21,0.105
1,1.0,4,40,point,200,104,0.52
1,1.0,4,40,concat,200,95,0.475
1,1.0,4,40,chemotaxis,200,104,0.52
1,1.0,5,40,recency,200,20,0.1
1,1.0,5,40,point,200,115,0.575
1,1.0,5,40,concat,200,83,0.415
1,1.0,5,40,chemotaxis,200,99,0.495
1,1.0,6,40,recency,200,25,0.125
1,1.0,6,40,point,200,139,0.695
1,1.0,6,40,concat,200,106,0.53
1,1.0,6,40,chemotaxis,200,117,0.585
1,1.0,7,40,recency,200,34,0.17
1,1.0,7,40,point,200,115,0.575
1,1.0,7,40,concat,200,88,0.44
1,1.0,7,40,chemotaxis,200,102,0.51
1,1.0,8,40,recency,200,24,0.12
1,1.0,8,40,point,200,121,0.605
1,1.0,8,40,concat,200,104,0.52
1,1.0,8,40,chemotaxis,200,116,0.58
1,1.0,9,40,recency,200,26,0.13
1,1.0,9,40,point,200,131,0.655
1,1.0,9,40,concat,200,97,0.485
1,1.0,9,40,chemotaxis,200,109,0.545
2,0.0,0,40,recency,200,200,1.0
2,0.0,0,40,point,200,200,1.0
2,0.0,0,40,concat,200,200,1.0
2,0.0,0,40,chemotaxis,200,200,1.0
2,0.0,1,40,recency,200,200,1.0
2,0.0,1,40,point,200,200,1.0
2,0.0,1,40,concat,200,200,1.0
2,0.0,1,40,chemotaxis,200,200,1.0
2,0.0,2,40,recency,200,200,1.0
2,0.0,2,40,point,200,200,1.0
2,0.0,2,40,concat,200,200,1.0
2,0.0,2,40,chemotaxis,200,200,1.0
2,0.0,3,40,recency,200,200,1.0
2,0.0,3,40,point,200,200,1.0
2,0.0,3,40,concat,200,200,1.0
2,0.0,3,40,chemotaxis,200,200,1.0
2,0.0,4,40,recency,200,200,1.0
2,0.0,4,40,point,200,200,1.0
2,0.0,4,40,concat,200,200,1.0
2,0.0,4,40,chemotaxis,200,200,1.0
2,0.0,5,40,recency,200,200,1.0
2,0.0,5,40,point,200,200,1.0
2,0.0,5,40,concat,200,200,1.0
2,0.0,5,40,chemotaxis,200,200,1.0
2,0.0,6,40,recency,200,200,1.0
2,0.0,6,40,point,200,200,1.0
2,0.0,6,40,concat,200,200,1.0
2,0.0,6,40,chemotaxis,200,200,1.0
2,0.0,7,40,recency,200,200,1.0
2,0.0,7,40,point,200,200,1.0
2,0.0,7,40,concat,200,200,1.0
2,0.0,7,40,chemotaxis,200,200,1.0
2,0.0,8,40,recency,200,200,1.0
2,0.0,8,40,point,200,200,1.0
2,0.0,8,40,concat,200,200,1.0
2,0.0,8,40,chemotaxis,200,200,1.0
2,0.0,9,40,recency,200,200,1.0
2,0.0,9,40,point,200,200,1.0
2,0.0,9,40,concat,200,200,1.0
2,0.0,9,40,chemotaxis,200,200,1.0
2,0.15,0,40,recency,200,124,0.62
2,0.15,0,40,point,200,112,0.56
2,0.15,0,40,concat,200,136,0.68
2,0.15,0,40,chemotaxis,200,93,0.465
2,0.15,1,40,recency,200,106,0.53
2,0.15,1,40,point,200,92,0.46
2,0.15,1,40,concat,200,110,0.55
2,0.15,1,40,chemotaxis,200,69,0.345
2,0.15,2,40,recency,200,108,0.54
2,0.15,2,40,point,200,102,0.51
2,0.15,2,40,concat,200,121,0.605
2,0.15,2,40,chemotaxis,200,78,0.39
2,0.15,3,40,recency,200,112,0.56
2,0.15,3,40,point,200,114,0.57
2,0.15,3,40,concat,200,132,0.66
2,0.15,3,40,chemotaxis,200,94,0.47
2,0.15,4,40,recency,200,93,0.465
2,0.15,4,40,point,200,90,0.45
2,0.15,4,40,concat,200,108,0.54
2,0.15,4,40,chemotaxis,200,61,0.305
2,0.15,5,40,recency,200,115,0.575
2,0.15,5,40,point,200,97,0.485
2,0.15,5,40,concat,200,113,0.565
2,0.15,5,40,chemotaxis,200,77,0.385
2,0.15,6,40,recency,200,122,0.61
2,0.15,6,40,point,200,106,0.53
2,0.15,6,40,concat,200,130,0.65
2,0.15,6,40,chemotaxis,200,83,0.415
2,0.15,7,40,recency,200,127,0.635
2,0.15,7,40,point,200,103,0.515
2,0.15,7,40,concat,200,129,0.645
2,0.15,7,40,chemotaxis,200,70,0.35
2,0.15,8,40,recency,200,106,0.53
2,0.15,8,40,point,200,100,0.5
2,0.15,8,40,concat,200,118,0.59
2,0.15,8,40,chemotaxis,200,80,0.4
2,0.15,9,40,recency,200,101,0.505
2,0.15,9,40,point,200,84,0.42
2,0.15,9,40,concat,200,110,0.55
2,0.15,9,40,chemotaxis,200,71,0.355
2,0.3,0,40,recency,200,72,0.36
2,0.3,0,40,point,200,86,0.43
2,0.3,0,40,concat,200,99,0.495
2,0.3,0,40,chemotaxis,200,67,0.335
2,0.3,1,40,recency,200,66,0.33
2,0.3,1,40,point,200,73,0.365
2,0.3,1,40,concat,200,86,0.43
2,0.3,1,40,chemotaxis,200,64,0.32
2,0.3,2,40,recency,200,62,0.31
2,0.3,2,40,point,200,65,0.325
2,0.3,2,40,concat,200,89,0.445
2,0.3,2,40,chemotaxis,200,47,0.235
2,0.3,3,40,recency,200,62,0.31
2,0.3,3,40,point,200,81,0.405
2,0.3,3,40,concat,200,101,0.505
2,0.3,3,40,chemotaxis,200,58,0.29
2,0.3,4,40,recency,200,68,0.34
2,0.3,4,40,point,200,61,0.305
2,0.3,4,40,concat,200,93,0.465
2,0.3,4,40,chemotaxis,200,51,0.255
2,0.3,5,40,recency,200,74,0.37
2,0.3,5,40,point,200,62,0.31
2,0.3,5,40,concat,200,85,0.425
2,0.3,5,40,chemotaxis,200,50,0.25
2,0.3,6,40,recency,200,67,0.335
2,0.3,6,40,point,200,78,0.39
2,0.3,6,40,concat,200,92,0.46
2,0.3,6,40,chemotaxis,200,60,0.3
2,0.3,7,40,recency,200,92,0.46
2,0.3,7,40,point,200,66,0.33
2,0.3,7,40,concat,200,89,0.445
2,0.3,7,40,chemotaxis,200,51,0.255
2,0.3,8,40,recency,200,75,0.375
2,0.3,8,40,point,200,72,0.36
